Price;Bedrooms;Floorplans;Address
$1,050;;;322 N Lotus Ave #1W, Chicago IL
$1,149;;;5027 W Washington Blvd #2, Chicago IL
$900;;;553 N Central Ave #1, Chicago IL
$1,200;;;4742 W Polk St #1, Chicago IL
$900;;;1759 N Latrobe Ave #C, Chicago IL
$975;2 Beds;2 floorplans;27 N. Laramie Ave., Chicago IL
$2,145;;;1636 N Nashville Ave, Chicago IL
$750+;1 - 3 Beds;4 floorplans;4834-50 W. Adams, Chicago IL
$980;;;111 N Lamon Ave, Chicago IL
$710+;1 Bed;2 floorplans;1610 N Mason Ave, Chicago IL
$740;1 Bed;1 floorplan;916 N Menard Ave, Chicago IL
$680+;1 - 2 Beds;3 floorplans;5000 W. Adams, Chicago IL
$1,180;;;5448 W Congress Pkwy #2, Chicago IL
$580;Studio;1 floorplan;135-143 S. Waller Ave, Chicago IL
$1,100;;;1351 N Lorel Ave #G, Chicago IL
$580;Studio;1 floorplan;5672-5678 W. Adams St, Chicago IL
$1,100;2 Beds;1 floorplan;5315-25 W. Washington 51-53 N. Lorel, Chicago IL
$1,375;;;1351 N Lorel Ave #2, Chicago IL
$720+;1 Bed;2 floorplans;5417 W Washington Blvd, Chicago IL
$1,149;;;4936 W Jackson Blvd #2, Chicago IL
$1,000;;;1009 N Lavergne Ave #2, Chicago IL
$1,100;2 Beds;1 floorplan;5700-16 W Race 546-552 N Waller, Chicago IL
$1,150;;;5404 W Madison St #2, Chicago IL
$1,300;;;1232 N Laramie Ave #1, Chicago IL
$1,200;;;1234 N Laramie Ave #2, Chicago IL
$580;Studio;1 floorplan;327 N Pine, Chicago IL
$950;;;10 N Long Ave #1A, Chicago IL
$750+;1 - 2 Beds;3 floorplans;5500 W Washington Blvd, Chicago IL
$1,795;;;655 N Central Ave #C, Chicago IL
$700;;;S Austin Blvd #GDN, Chicago IL
$1,050;;;5750 W North Ave #2, Chicago IL
$1,100;;;4728 W Madison St #2R, Chicago IL
$1,175;3 Beds;1 floorplan;102 S Lotus Ave, Chicago IL
$760;2 Beds;1 floorplan;1108 E 82nd St, Chicago IL
$1,400;;;8522 S Bennett Ave #3, Chicago IL
$1,150;;;1132 E 81st St #H, Chicago IL
$1,250;;;8157 S Dante Ave #2, Chicago IL
$1,150;;;8502 S Stony Island Ave #2C, Chicago IL
$1,125;;;8502 S Stony Island Ave #3B, Chicago IL
$1,125;;;8502 S Stony Island Ave #2B, Chicago IL
$1,150;;;8502 S Stony Island Ave #2A, Chicago IL
$750;;;7726 S Avalon Ave, Chicago IL
$1,395;;;8115 S Blackstone Ave, Chicago IL
$1,475;;;8031 S Kimbark Ave #2, Chicago IL
$1,375;;;8031 S Kimbark Ave #1, Chicago IL
$1,000;;;8031 S Kimbark Ave, Chicago IL
